crawl_date,brand,product_id,major_category,major_category_url,series_name,series_summary,series_url,series_cover_image_url,series_declared_product_count,product_name,list_title,model,style,material,color,specification,description_text,list_image_url,hover_image_url,gallery_image_count,gallery_image_urls,display_image_count,display_image_urls,display_image_local_paths,display_image_selection_basis,detail_url
2026-04-08,红苹果,957,书房,http://www.redapple.com.cn/product/p2/index.aspx,枫木系列—“清新雅致”,淡色调的枫木系列，给人单纯、柔和、亲切的美感，散发“平淡质朴”之美。雅致的浅色枫木，充满现代气息。,http://www.redapple.com.cn/product/p2/fengmuxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443200424.jpg,4,R435 书房椅,R435 书房椅,R435,现代简约,布艺,,630X630X900,座垫可升降,http://www.redapple.com.cn/upload/2016/0114/0903xjh462.jpg,http://www.redapple.com.cn/upload/2016/0114/090482408l.jpg,11,http://www.redapple.com.cn/upload/2016/0114/09060bj40f.jpg | http://www.redapple.com.cn/upload/2016/0114/0906jvr8f8.jpg | http://www.redapple.com.cn/upload/2016/0114/09060r48r8.jpg | http://www.redapple.com.cn/upload/2016/0114/0906b84rf4.jpg | http://www.redapple.com.cn/upload/2016/0114/0906z8rt2d.jpg | http://www.redapple.com.cn/upload/2016/0114/09068xb4bb.jpg | http://www.redapple.com.cn/upload/2016/0114/090620hz0b.jpg | http://www.redapple.com.cn/upload/2016/0114/0906nbrt68.jpg | http://www.redapple.com.cn/upload/2016/0114/09060b8j6d.jpg | http://www.redapple.com.cn/upload/2016/0114/090688xx6j.jpg | http://www.redapple.com.cn/upload/2016/0114/0906v60trf.jpg,11,http://www.redapple.com.cn/upload/2016/0114/09060bj40f.jpg | http://www.redapple.com.cn/upload/2016/0114/0906jvr8f8.jpg | http://www.redapple.com.cn/upload/2016/0114/09060r48r8.jpg | http://www.redapple.com.cn/upload/2016/0114/0906b84rf4.jpg | http://www.redapple.com.cn/upload/2016/0114/0906z8rt2d.jpg | http://www.redapple.com.cn/upload/2016/0114/09068xb4bb.jpg | http://www.redapple.com.cn/upload/2016/0114/090620hz0b.jpg | http://www.redapple.com.cn/upload/2016/0114/0906nbrt68.jpg | http://www.redapple.com.cn/upload/2016/0114/09060b8j6d.jpg | http://www.redapple.com.cn/upload/2016/0114/090688xx6j.jpg | http://www.redapple.com.cn/upload/2016/0114/0906v60trf.jpg,data/images/redapple/957/display_01.jpg | data/images/redapple/957/display_02.jpg | data/images/redapple/957/display_03.jpg | data/images/redapple/957/display_04.jpg | data/images/redapple/957/display_05.jpg | data/images/redapple/957/display_06.jpg | data/images/redapple/957/display_07.jpg | data/images/redapple/957/display_08.jpg | data/images/redapple/957/display_09.jpg | data/images/redapple/957/display_10.jpg | data/images/redapple/957/display_11.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/fengmuxilie/20160114/957.aspx
2026-04-08,红苹果,958,书房,http://www.redapple.com.cn/product/p2/index.aspx,枫木系列—“清新雅致”,淡色调的枫木系列，给人单纯、柔和、亲切的美感，散发“平淡质朴”之美。雅致的浅色枫木，充满现代气息。,http://www.redapple.com.cn/product/p2/fengmuxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443200424.jpg,4,R456 书房椅,R456 书房椅,R456,现代简约,布艺,,400X420X830,多种布色可选,http://www.redapple.com.cn/upload/2016/0114/09086j4022.jpg,http://www.redapple.com.cn/upload/2016/0114/09082pl62v.jpg,6,http://www.redapple.com.cn/upload/2016/0114/0908bdr0h2.jpg | http://www.redapple.com.cn/upload/2016/0114/09084nj0z8.jpg | http://www.redapple.com.cn/upload/2016/0114/0908202n6h.jpg | http://www.redapple.com.cn/upload/2016/0114/0908dhtz42.jpg | http://www.redapple.com.cn/upload/2016/0114/0909bvdbnn.jpg | http://www.redapple.com.cn/upload/2016/0114/0909b2x00p.jpg,6,http://www.redapple.com.cn/upload/2016/0114/0908bdr0h2.jpg | http://www.redapple.com.cn/upload/2016/0114/09084nj0z8.jpg | http://www.redapple.com.cn/upload/2016/0114/0908202n6h.jpg | http://www.redapple.com.cn/upload/2016/0114/0908dhtz42.jpg | http://www.redapple.com.cn/upload/2016/0114/0909bvdbnn.jpg | http://www.redapple.com.cn/upload/2016/0114/0909b2x00p.jpg,data/images/redapple/958/display_01.jpg | data/images/redapple/958/display_02.jpg | data/images/redapple/958/display_03.jpg | data/images/redapple/958/display_04.jpg | data/images/redapple/958/display_05.jpg | data/images/redapple/958/display_06.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/fengmuxilie/20160114/958.aspx
2026-04-08,红苹果,959,书房,http://www.redapple.com.cn/product/p2/index.aspx,枫木系列—“清新雅致”,淡色调的枫木系列，给人单纯、柔和、亲切的美感，散发“平淡质朴”之美。雅致的浅色枫木，充满现代气息。,http://www.redapple.com.cn/product/p2/fengmuxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443200424.jpg,4,R712 书柜,R712 书柜,"R712-K,R712-M,R712-2,R712-3",现代简约,三聚氰胺板,,"400X400X1200,400X400X1200,400X400X960,400X400X960",可灵活组合,http://www.redapple.com.cn/upload/2016/0114/09090pj224.jpg,http://www.redapple.com.cn/upload/2016/0114/0909dz2vnp.jpg,7,http://www.redapple.com.cn/upload/2016/0114/0909jf20d4.jpg | http://www.redapple.com.cn/upload/2016/0114/09102880tn.jpg | http://www.redapple.com.cn/upload/2016/0114/091088j0d8.jpg | http://www.redapple.com.cn/upload/2016/0114/0910rb2br8.jpg | http://www.redapple.com.cn/upload/2016/0114/09100b0ppj.jpg | http://www.redapple.com.cn/upload/2016/0114/0910thxjbt.jpg | http://www.redapple.com.cn/upload/2016/0114/09108z88x6.jpg,7,http://www.redapple.com.cn/upload/2016/0114/0909jf20d4.jpg | http://www.redapple.com.cn/upload/2016/0114/09102880tn.jpg | http://www.redapple.com.cn/upload/2016/0114/091088j0d8.jpg | http://www.redapple.com.cn/upload/2016/0114/0910rb2br8.jpg | http://www.redapple.com.cn/upload/2016/0114/09100b0ppj.jpg | http://www.redapple.com.cn/upload/2016/0114/0910thxjbt.jpg | http://www.redapple.com.cn/upload/2016/0114/09108z88x6.jpg,data/images/redapple/959/display_01.jpg | data/images/redapple/959/display_02.jpg | data/images/redapple/959/display_03.jpg | data/images/redapple/959/display_04.jpg | data/images/redapple/959/display_05.jpg | data/images/redapple/959/display_06.jpg | data/images/redapple/959/display_07.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/fengmuxilie/20160114/959.aspx
2026-04-08,红苹果,963,书房,http://www.redapple.com.cn/product/p2/index.aspx,枫木系列—“清新雅致”,淡色调的枫木系列，给人单纯、柔和、亲切的美感，散发“平淡质朴”之美。雅致的浅色枫木，充满现代气息。,http://www.redapple.com.cn/product/p2/fengmuxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443200424.jpg,4,R730-12G 书台,R730-12G 书台,R730-12G,现代简约,三聚氰胺板,,1200X600X760,,http://www.redapple.com.cn/upload/2016/0114/0921268886.jpg,http://www.redapple.com.cn/upload/2016/0114/0921b4b2f6.jpg,5,http://www.redapple.com.cn/upload/2016/0114/0922lh06b6.jpg | http://www.redapple.com.cn/upload/2016/0114/09228v2np8.jpg | http://www.redapple.com.cn/upload/2016/0114/0922pnlrln.jpg | http://www.redapple.com.cn/upload/2016/0114/0922206h4h.jpg | http://www.redapple.com.cn/upload/2016/0114/0922hz048h.jpg,5,http://www.redapple.com.cn/upload/2016/0114/0922lh06b6.jpg | http://www.redapple.com.cn/upload/2016/0114/09228v2np8.jpg | http://www.redapple.com.cn/upload/2016/0114/0922pnlrln.jpg | http://www.redapple.com.cn/upload/2016/0114/0922206h4h.jpg | http://www.redapple.com.cn/upload/2016/0114/0922hz048h.jpg,data/images/redapple/963/display_01.jpg | data/images/redapple/963/display_02.jpg | data/images/redapple/963/display_03.jpg | data/images/redapple/963/display_04.jpg | data/images/redapple/963/display_05.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/fengmuxilie/20160114/963.aspx
2026-04-08,红苹果,964,书房,http://www.redapple.com.cn/product/p2/index.aspx,樱桃系列——“温暖格调”,樱桃木又名“思念树”，自然的纹路会因时间的叠加而愈加立体、清晰，历久弥新。每一段线条都诉说着时间、爱与家的故事。,http://www.redapple.com.cn/product/p2/yingtaoxilie/index.aspx,http://www.redapple.com.cn/upload/2015/1208/1033644xvv.jpg,4,R407 书房椅,R407 书房椅,R407,现代简约,布艺,,440X400X900,多种布色可选,http://www.redapple.com.cn/upload/2016/0114/09438hh8nr.jpg,http://www.redapple.com.cn/upload/2016/0114/094426xjh4.jpg,10,http://www.redapple.com.cn/upload/2016/0114/0944d0668v.jpg | http://www.redapple.com.cn/upload/2016/0114/0944nzvtfb.jpg | http://www.redapple.com.cn/upload/2016/0114/0944rr0x88.jpg | http://www.redapple.com.cn/upload/2016/0114/094428826r.jpg | http://www.redapple.com.cn/upload/2016/0114/0944j2hbpz.jpg | http://www.redapple.com.cn/upload/2016/0114/09444z8jt4.jpg | http://www.redapple.com.cn/upload/2016/0114/0944p8dv46.jpg | http://www.redapple.com.cn/upload/2016/0114/0944bz04rr.jpg | http://www.redapple.com.cn/upload/2016/0114/0944x4hj80.jpg | http://www.redapple.com.cn/upload/2016/0114/09440vhth4.jpg,10,http://www.redapple.com.cn/upload/2016/0114/0944d0668v.jpg | http://www.redapple.com.cn/upload/2016/0114/0944nzvtfb.jpg | http://www.redapple.com.cn/upload/2016/0114/0944rr0x88.jpg | http://www.redapple.com.cn/upload/2016/0114/094428826r.jpg | http://www.redapple.com.cn/upload/2016/0114/0944j2hbpz.jpg | http://www.redapple.com.cn/upload/2016/0114/09444z8jt4.jpg | http://www.redapple.com.cn/upload/2016/0114/0944p8dv46.jpg | http://www.redapple.com.cn/upload/2016/0114/0944bz04rr.jpg | http://www.redapple.com.cn/upload/2016/0114/0944x4hj80.jpg | http://www.redapple.com.cn/upload/2016/0114/09440vhth4.jpg,data/images/redapple/964/display_01.jpg | data/images/redapple/964/display_02.jpg | data/images/redapple/964/display_03.jpg | data/images/redapple/964/display_04.jpg | data/images/redapple/964/display_05.jpg | data/images/redapple/964/display_06.jpg | data/images/redapple/964/display_07.jpg | data/images/redapple/964/display_08.jpg | data/images/redapple/964/display_09.jpg | data/images/redapple/964/display_10.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/yingtaoxilie/20160114/964.aspx
2026-04-08,红苹果,965,书房,http://www.redapple.com.cn/product/p2/index.aspx,樱桃系列——“温暖格调”,樱桃木又名“思念树”，自然的纹路会因时间的叠加而愈加立体、清晰，历久弥新。每一段线条都诉说着时间、爱与家的故事。,http://www.redapple.com.cn/product/p2/yingtaoxilie/index.aspx,http://www.redapple.com.cn/upload/2015/1208/1033644xvv.jpg,4,R435 书房椅,R435 书房椅,R435,现代简约,三聚氰胺板,,630X630X900,座垫可升降,http://www.redapple.com.cn/upload/2016/0114/09442f2rbh.jpg,http://www.redapple.com.cn/upload/2016/0114/0944b6h288.jpg,9,http://www.redapple.com.cn/upload/2016/0114/09454bv466.jpg | http://www.redapple.com.cn/upload/2016/0114/09452j4666.jpg | http://www.redapple.com.cn/upload/2016/0114/09458r0h84.jpg | http://www.redapple.com.cn/upload/2016/0114/0945j8plv2.jpg | http://www.redapple.com.cn/upload/2016/0114/0945rdjh48.jpg | http://www.redapple.com.cn/upload/2016/0114/09456v8z6t.jpg | http://www.redapple.com.cn/upload/2016/0114/09458b6t86.jpg | http://www.redapple.com.cn/upload/2016/0114/0945fb80pn.jpg | http://www.redapple.com.cn/upload/2016/0114/0945rxnph8.jpg,9,http://www.redapple.com.cn/upload/2016/0114/09454bv466.jpg | http://www.redapple.com.cn/upload/2016/0114/09452j4666.jpg | http://www.redapple.com.cn/upload/2016/0114/09458r0h84.jpg | http://www.redapple.com.cn/upload/2016/0114/0945j8plv2.jpg | http://www.redapple.com.cn/upload/2016/0114/0945rdjh48.jpg | http://www.redapple.com.cn/upload/2016/0114/09456v8z6t.jpg | http://www.redapple.com.cn/upload/2016/0114/09458b6t86.jpg | http://www.redapple.com.cn/upload/2016/0114/0945fb80pn.jpg | http://www.redapple.com.cn/upload/2016/0114/0945rxnph8.jpg,data/images/redapple/965/display_01.jpg | data/images/redapple/965/display_02.jpg | data/images/redapple/965/display_03.jpg | data/images/redapple/965/display_04.jpg | data/images/redapple/965/display_05.jpg | data/images/redapple/965/display_06.jpg | data/images/redapple/965/display_07.jpg | data/images/redapple/965/display_08.jpg | data/images/redapple/965/display_09.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/yingtaoxilie/20160114/965.aspx
2026-04-08,红苹果,970,书房,http://www.redapple.com.cn/product/p2/index.aspx,樱桃系列——“温暖格调”,樱桃木又名“思念树”，自然的纹路会因时间的叠加而愈加立体、清晰，历久弥新。每一段线条都诉说着时间、爱与家的故事。,http://www.redapple.com.cn/product/p2/yingtaoxilie/index.aspx,http://www.redapple.com.cn/upload/2015/1208/1033644xvv.jpg,4,R730-48L 书台,R730-48L 书台,R730-48L,现代简约,三聚氰胺板,,1200X1200X760,柜桶安装不分左右,http://www.redapple.com.cn/upload/2016/0114/1016tp2206.jpg,http://www.redapple.com.cn/upload/2016/0114/10160lrvzt.jpg,6,http://www.redapple.com.cn/upload/2016/0114/1016084t0v.jpg | http://www.redapple.com.cn/upload/2016/0114/10168ll6z2.jpg | http://www.redapple.com.cn/upload/2016/0114/10162rdf22.jpg | http://www.redapple.com.cn/upload/2016/0114/10160006p4.jpg | http://www.redapple.com.cn/upload/2016/0114/1016htnt42.jpg | http://www.redapple.com.cn/upload/2016/0114/1016rnv62j.jpg,6,http://www.redapple.com.cn/upload/2016/0114/1016084t0v.jpg | http://www.redapple.com.cn/upload/2016/0114/10168ll6z2.jpg | http://www.redapple.com.cn/upload/2016/0114/10162rdf22.jpg | http://www.redapple.com.cn/upload/2016/0114/10160006p4.jpg | http://www.redapple.com.cn/upload/2016/0114/1016htnt42.jpg | http://www.redapple.com.cn/upload/2016/0114/1016rnv62j.jpg,data/images/redapple/970/display_01.jpg | data/images/redapple/970/display_02.jpg | data/images/redapple/970/display_03.jpg | data/images/redapple/970/display_04.jpg | data/images/redapple/970/display_05.jpg | data/images/redapple/970/display_06.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/yingtaoxilie/20160114/970.aspx
2026-04-08,红苹果,950,书房,http://www.redapple.com.cn/product/p2/index.aspx,胡桃系列-“低调奢华”,秉承木质美学的设计理念，呈现自然的纹理，深浅交替的变幻是造物主赋予的神奇。别致稳重，花纹层次感强，高贵不昂贵，兼具内涵与颜值。,http://www.redapple.com.cn/product/p2/hutaoxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443xhvddf.jpg,4,R406 书房椅,R406 书房椅,R406,现代简约,实木,,560X600X800,不锈钢/实木指接结构脚；多种布色可选,http://www.redapple.com.cn/upload/2016/0113/17088v06dv.jpg,http://www.redapple.com.cn/upload/2016/0113/1708v28688.jpg,10,http://www.redapple.com.cn/upload/2016/0113/170868828p.jpg | http://www.redapple.com.cn/upload/2016/0113/1708v26hb6.jpg | http://www.redapple.com.cn/upload/2016/0113/17088f4vzz.jpg | http://www.redapple.com.cn/upload/2016/0113/170862h0rt.jpg | http://www.redapple.com.cn/upload/2016/0113/1708fx2lv4.jpg | http://www.redapple.com.cn/upload/2016/0113/17082dvfh4.jpg | http://www.redapple.com.cn/upload/2016/0113/1708b8xx2p.jpg | http://www.redapple.com.cn/upload/2016/0113/1708tl86jj.jpg | http://www.redapple.com.cn/upload/2016/0113/1708tz0bx6.jpg | http://www.redapple.com.cn/upload/2016/0113/1708pz2b82.jpg,10,http://www.redapple.com.cn/upload/2016/0113/170868828p.jpg | http://www.redapple.com.cn/upload/2016/0113/1708v26hb6.jpg | http://www.redapple.com.cn/upload/2016/0113/17088f4vzz.jpg | http://www.redapple.com.cn/upload/2016/0113/170862h0rt.jpg | http://www.redapple.com.cn/upload/2016/0113/1708fx2lv4.jpg | http://www.redapple.com.cn/upload/2016/0113/17082dvfh4.jpg | http://www.redapple.com.cn/upload/2016/0113/1708b8xx2p.jpg | http://www.redapple.com.cn/upload/2016/0113/1708tl86jj.jpg | http://www.redapple.com.cn/upload/2016/0113/1708tz0bx6.jpg | http://www.redapple.com.cn/upload/2016/0113/1708pz2b82.jpg,data/images/redapple/950/display_01.jpg | data/images/redapple/950/display_02.jpg | data/images/redapple/950/display_03.jpg | data/images/redapple/950/display_04.jpg | data/images/redapple/950/display_05.jpg | data/images/redapple/950/display_06.jpg | data/images/redapple/950/display_07.jpg | data/images/redapple/950/display_08.jpg | data/images/redapple/950/display_09.jpg | data/images/redapple/950/display_10.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/hutaoxilie/20160113/950.aspx
2026-04-08,红苹果,952,书房,http://www.redapple.com.cn/product/p2/index.aspx,胡桃系列-“低调奢华”,秉承木质美学的设计理念，呈现自然的纹理，深浅交替的变幻是造物主赋予的神奇。别致稳重，花纹层次感强，高贵不昂贵，兼具内涵与颜值。,http://www.redapple.com.cn/product/p2/hutaoxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443xhvddf.jpg,4,R730-48L 书台,R730-48L 书台,R730-48L,现代简约,三聚氰胺板,,1200X1200X760,柜桶安装不分左右,http://www.redapple.com.cn/upload/2016/0113/1710rx4tdp.jpg,http://www.redapple.com.cn/upload/2016/0113/1710hvjn4j.jpg,3,http://www.redapple.com.cn/upload/2016/0113/1711j0tx6r.jpg | http://www.redapple.com.cn/upload/2016/0113/17116tr06f.jpg | http://www.redapple.com.cn/upload/2016/0113/1711vz8d0v.jpg,3,http://www.redapple.com.cn/upload/2016/0113/1711j0tx6r.jpg | http://www.redapple.com.cn/upload/2016/0113/17116tr06f.jpg | http://www.redapple.com.cn/upload/2016/0113/1711vz8d0v.jpg,data/images/redapple/952/display_01.jpg | data/images/redapple/952/display_02.jpg | data/images/redapple/952/display_03.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/hutaoxilie/20160113/952.aspx
2026-04-08,红苹果,954,书房,http://www.redapple.com.cn/product/p2/index.aspx,胡桃系列-“低调奢华”,秉承木质美学的设计理念，呈现自然的纹理，深浅交替的变幻是造物主赋予的神奇。别致稳重，花纹层次感强，高贵不昂贵，兼具内涵与颜值。,http://www.redapple.com.cn/product/p2/hutaoxilie/index.aspx,http://www.redapple.com.cn/upload/2016/0105/1443xhvddf.jpg,4,R730T-1.2 书柜,R730T-1.2 书柜,R730T-1.2,现代简约,三聚氰胺板,,1200X590X760,第一个抽屉带锁；柜桶安装不分左右,http://www.redapple.com.cn/upload/2016/0113/1712jrvn0d.jpg,http://www.redapple.com.cn/upload/2016/0113/171246znh8.jpg,6,http://www.redapple.com.cn/upload/2016/0113/17132lv6p6.jpg | http://www.redapple.com.cn/upload/2016/0113/1713268v8h.jpg | http://www.redapple.com.cn/upload/2016/0113/1713404082.jpg | http://www.redapple.com.cn/upload/2016/0113/17132802t2.jpg | http://www.redapple.com.cn/upload/2016/0113/17134pd88h.jpg | http://www.redapple.com.cn/upload/2016/0113/171308r0d4.jpg,6,http://www.redapple.com.cn/upload/2016/0113/17132lv6p6.jpg | http://www.redapple.com.cn/upload/2016/0113/1713268v8h.jpg | http://www.redapple.com.cn/upload/2016/0113/1713404082.jpg | http://www.redapple.com.cn/upload/2016/0113/17132802t2.jpg | http://www.redapple.com.cn/upload/2016/0113/17134pd88h.jpg | http://www.redapple.com.cn/upload/2016/0113/171308r0d4.jpg,data/images/redapple/954/display_01.jpg | data/images/redapple/954/display_02.jpg | data/images/redapple/954/display_03.jpg | data/images/redapple/954/display_04.jpg | data/images/redapple/954/display_05.jpg | data/images/redapple/954/display_06.jpg,优先使用前端详情轮换图 largimg 图集；若图集缺失则回退到列表首图和 hover 图,http://www.redapple.com.cn/product/p2/hutaoxilie/20160113/954.aspx
